ID,Weight,Length,Width, Price 
376,170 ,787 ,1092 , 8.20 
377,270 ,787 ,1092 , 12.00 
378,120 ,787 ,1092 , 5.80 
379,170 ,787 ,1092 , 8.20 
380,270 ,787 ,1092 , 12.00 
381,120 ,787 ,1092 , 4.80 
382,170 ,787 ,1092 , 8.20 
383,270 ,787 ,1092 , 12.00 
384,120 ,787 ,1092 , 5.80 
385,170 ,787 ,1092 , 8.20 
386,270 ,787 ,1092 , 12.00 
387,120 ,787 ,1092 , 5.80 
388,170 ,787 ,1092 , 8.20 
389,270 ,787 ,1092 , 13.20 
390,120 ,787 ,1092 , 5.80 
391,170 ,787 ,1092 , 8.80 
392,270 ,787 ,1092 , 13.20 
393,120 ,787 ,1092 , 4.80 
394,270 ,787 ,1092 , 12.00 
395,120 ,787 ,1092 , 4.80 
396,270 ,787 ,1092 , 12.00 
397,120 ,787 ,1092 , 4.80 
398,270 ,787 ,1092 , 12.00 
399,120 ,787 ,1092 , 5.80 
400,270 ,787 ,1092 , 13.20 
401,120 ,787 ,1092 , 4.80 
402,270 ,787 ,1092 , 12.00 
403,120 ,787 ,1092 , 4.80 
404,270 ,787 ,1092 , 12.00 
405,120 ,787 ,1092 , 4.80 
406,270 ,787 ,1092 , 12.00 
407,120 ,787 ,1092 , 5.80 
408,270 ,787 ,1092 , 13.20 
409,120 ,787 ,1092 , 5.80 
410,270 ,787 ,1092 , 13.20 
411,120 ,787 ,1092 , 4.80 
412,270 ,787 ,1092 , 12.00 
413,120 ,787 ,1092 , 5.80 
414,270 ,787 ,1092 , 13.20 
415,120 ,787 ,1092 , 4.80 
416,270 ,787 ,1092 , 12.00 
417,120 ,787 ,1092 , 5.80 
418,270 ,787 ,1092 , 13.20 
419,120 ,787 ,1092 , 5.80 
420,270 ,787 ,1092 , 13.20 
421,120 ,787 ,1092 , 4.80 
422,270 ,787 ,1092 , 12.00 
423,120 ,787 ,1092 , 5.80 
424,270 ,787 ,1092 , 13.20 
425,120 ,787 ,1092 , 5.80 
426,270 ,787 ,1092 , 13.20 
427,120 ,787 ,1092 , 5.80 
428,270 ,787 ,1092 , 13.20 
429,120 ,787 ,1092 , 5.80 
430,270 ,787 ,1092 , 13.20 
431,120 ,787 ,1092 , 5.80 
432,270 ,787 ,1092 , 13.20 
433,120 ,787 ,1092 , 5.80 
434,270 ,787 ,1092 , 13.20 
435,120 ,787 ,1092 , 5.80 
436,270 ,787 ,1092 , 13.20 
437,120 ,787 ,1092 , 4.80 
438,270 ,787 ,1092 , 12.00 
439,120 ,787 ,1092 , 4.80 
440,270 ,787 ,1092 , 12.00 
441,120 ,787 ,1092 , 4.80 
442,270 ,787 ,1092 , 12.00 
443,120 ,787 ,1092 , 4.80 
444,270 ,787 ,1092 , 12.00 
445,120 ,787 ,1092 , 5.80 
446,270 ,787 ,1092 , 13.20 
447,120 ,787 ,1092 , 5.80 
448,270 ,787 ,1092 , 13.20 
449,120 ,787 ,1092 , 5.80 
450,270 ,787 ,1092 , 13.20 
451,120 ,787 ,1092 , 5.80 
452,270 ,787 ,1092 , 13.20 
453,120 ,787 ,1092 , 5.80 
454,270 ,787 ,1092 , 13.20 
455,120 ,787 ,1092 , 5.80 
